,Center,Author,Header,Created,Type,Full context
4123,третий,Д. С. Лихачев,Воспоминания,1995,мемуары,"Если войти в здание со стороны острова, то надо подняться на третий этаж и пойти налево."
4124,третьем,Д. С. Лихачев,Воспоминания,1995,мемуары,Кабинет помещался на третьем этаже в большой комнате.
4125,тринадцатой,Д. С. Лихачев,Воспоминания,1995,мемуары,"Он — в тринадцатой карантинной роте, а она — в Женбараке."
4126,второй,Д. С. Лихачев,Воспоминания,1995,мемуары,"когда свирепствовал «второй тиф», так называемый «азиатский», люди заболевали тысячами, театр был закрыт и зрительный зал обращен в лазарет, где больные лежали вповалку, почти без помощи."
4127,двадцатых,Д. С. Лихачев,Воспоминания,1995,мемуары,Наивные мечты заключенных двадцатых годов…
4128,первой,Д. С. Лихачев,Воспоминания,1995,мемуары,"Икону, которую А. И. Анисимов ценил особенно, считая ее первой в ряду символических икон конца XV в."
4129,первой,Д. С. Лихачев,Воспоминания,1995,мемуары,"В Соловецком музее того времени оставалось много исключительно ценных икон большого размера, которых не смогла вывести экспедиция будущего академика Б. Д. Грекова в начале 20-х годов, спасшая много рукописей и икон первой категории."
4130,седьмой,Д. С. Лихачев,Воспоминания,1995,мемуары,"Я сидел с ним несколько месяцев в одной камере в седьмой роте, где сейчас расположены запасники Соловецкого историко-архитектурного и природного Музея."
4131,второй,Д. С. Лихачев,Воспоминания,1995,мемуары,"Газета «Советская культура» второй раз возвращается к теме о судьбе замечательного искусствоведа и реставратора икон А. Анисимова, последние работы которого собрал и недавно издал Г. И. Вздорнов."
4132,десятых,Д. С. Лихачев,Воспоминания,1995,мемуары,"Его серьезно ценил до революции А. А. Шахматов в Петербурге, куда он переехал в десятых годах (потом, впрочем, вернулся в Кострому)."
4133,тридцатых,Д. С. Лихачев,Воспоминания,1995,мемуары,"Как-то в середине тридцатых годов, когда я работал «ученым корректором» в издательстве Академии наук и ходил обедать в Дом ученых, я встретил там приехавшего из Петрозаводска Николая Николаевича."
4134,первом,Д. С. Лихачев,Воспоминания,1995,мемуары,"Печатались труды музея — сперва типографским способом в бывшей монастырской типографии, помещавшейся в первом этаже УСЛОНа на пристани, а потом — каким-то множительным аппаратом."
4135,Третье,Д. С. Лихачев,Воспоминания,1995,мемуары,Третье (и последнее) на Соловках свидание с родителями у меня было ранним летом 1930 г. на вытащенном на берег катере (или большой моторной лодке).
4136,первую,Д. С. Лихачев,Воспоминания,1995,мемуары,Это выводили первую партию на расстрел через Пожарные ворота.
4137,третьей,Д. С. Лихачев,Воспоминания,1995,мемуары,"Вдруг завыла собака Блек на спортстанции, которая была как раз против окна третьей роты."
4138,третьей,Д. С. Лихачев,Воспоминания,1995,мемуары,В молчании мы сидели в своей камере в третьей роте.
4139,третью,Д. С. Лихачев,Воспоминания,1995,мемуары,"Он вернулся в карцер, а я в третью роту."
4140,первой,Д. С. Лихачев,Воспоминания,1995,мемуары,Четверо — это на первой фотографии — весной 1929 г.
4141,шестой,Д. С. Лихачев,Воспоминания,1995,мемуары,"Я пошел к Александру Ивановичу Мельникову, в комнату, где он жил над шестой ротой у Филипповской церкви."
4142,первая,Д. С. Лихачев,Воспоминания,1995,мемуары,"Я сказал родителям, что меня вызывают на срочную работу, и ушел: первая мысль была — пусть арестовывают не при родителях! "
4143,первой,Д. С. Лихачев,Воспоминания,1995,мемуары,Фамилию молодого писателя и название его первой книги я полностью забыл.
4144,первая,Д. С. Лихачев,Воспоминания,1995,мемуары,"заперта была первая камера слева (окна ее глядели в сторону моря, и там раньше жил Володя Свешников-Кемецкий)."
4145,седьмой,Д. С. Лихачев,Воспоминания,1995,мемуары,"В седьмой роте, где я жил с лета 1929 г."
4146,вторая,Д. С. Лихачев,Воспоминания,1995,мемуары,В конце 1929 г. на острове вспыхнула вторая эпидемия тифа.
4147,второго,Д. С. Лихачев,Воспоминания,1995,мемуары,"Он провел меня поздно вечером в комнату второго этажа Управления, поразившую меня отсутствием окон и сплошь заставленную стеллажами с делами заключенных."
4148,первой,Д. С. Лихачев,Воспоминания,1995,мемуары,Решил бежать в Америку еще до первой мировой войны.
4149,второй,Д. С. Лихачев,Воспоминания,1995,мемуары,"Ступни ног выворочены, тащатся по мосткам, ведущим прямо на второй этаж УСЛОНа."
4150,Первым,Д. С. Лихачев,Воспоминания,1995,мемуары,Первым волокут в бессознательном состоянии грузного Кожевникова.
4151,втором,Д. С. Лихачев,Воспоминания,1995,мемуары,"Тогда с выражением страдания на лице (он действительно страдал морально) Колосов поднялся и вместе с Молчановым они пошли в ИСЧ (Информационно-следственную часть), одна из комнат которой помещалась на втором этаже здания УСЛОНа."
4152,первое,Д. С. Лихачев,Воспоминания,1995,мемуары,"Помню, что первое время оба, Молчанов и Колосов, тихо говорили между собой, читая и разглядывая большой лист ватманской бумаги."
4153,первой,Д. С. Лихачев,Воспоминания,1995,мемуары,"С мальчиком Горький оставался не менее сорока минут (у меня уже были тогда карманные серебряные часы, подаренные мне отцом перед самой первой мировой войной и тайно переданные мне на острове при первом свидании)."
4154,первом,Д. С. Лихачев,Воспоминания,1995,мемуары,"С мальчиком Горький оставался не менее сорока минут (у меня уже были тогда карманные серебряные часы, подаренные мне отцом перед самой первой мировой войной и тайно переданные мне на острове при первом свидании)."
4155,второй,Д. С. Лихачев,Воспоминания,1995,мемуары,"По обе стороны входа и лестницы, ведшей на второй этаж, был выстроен «персонал» в чистых халатах."
4156,первый,Д. С. Лихачев,Воспоминания,1995,мемуары,"В первый, кажется, день пришел в лазарет."
4157,первые,Д. С. Лихачев,Воспоминания,1995,мемуары,"Экспорт леса в массовых масштабах был организован Френкелем, заявившим: «Мы должны взять от заключенных все в первые три месяца!» "
4158,третью,Д. С. Лихачев,Воспоминания,1995,мемуары,Особенно хорошо помню третью роту.
4159,первый,Д. С. Лихачев,Воспоминания,1995,мемуары,"И еще одна деталь: он превосходно играл в шахматы, и про него шутили: «первый шахматист и последний нигилист»."
4160,второй,Д. С. Лихачев,Воспоминания,1995,мемуары,"Когда начался второй тиф осенью 1929 г. и все боялись подхватить вшей, он спокойно говорил: «Своя вша не пустит чужую; лучший способ не заразиться тифом — иметь вшей»."
4161,первый,Д. С. Лихачев,Воспоминания,1995,мемуары,"Я, как Лариосик, попробовал первый раз в жизни произнести тост (держа в руке кружку с компотом) и не смог — расплакался."
4162,первой,Д. С. Лихачев,Воспоминания,1995,мемуары,и наша Детская колония была первой такого рода и такого масштаба в Советском Союзе.
4163,третьем,Д. С. Лихачев,Воспоминания,1995,мемуары,На работе (в гостинице у пристани на третьем этаже помещался наш Кримкаб — Криминологический кабинет) он умел создавать впечатление у начальства большой и важной деятельности.
4164,первые,Д. С. Лихачев,Воспоминания,1995,мемуары,Я был очень смущен опасениями Александра Николаевича и чувствовал себя первые недели в камере чужаком.
4165,Первым,Д. С. Лихачев,Воспоминания,1995,мемуары,Первым вернулся около 8 вечера с работы Александр Николаевич и посмотрел на меня с удивлением и опаской.
4166,третьей,Д. С. Лихачев,Воспоминания,1995,мемуары,"И вот после «Роты выздоравливающих», размещенной в страшном подземелье с низкими сводами в трещинах, я очутился в привилегированной третьей роте."
4167,тридцатых,Д. С. Лихачев,Воспоминания,1995,мемуары,"Сталкивались две эпохи: одна дореволюционная, а другая сугубо современная, — типичнейшая для двадцатых и начала тридцатых годов."
4168,двадцатых,Д. С. Лихачев,Воспоминания,1995,мемуары,"Сталкивались две эпохи: одна дореволюционная, а другая сугубо современная, — типичнейшая для двадцатых и начала тридцатых годов."
4169,одиннадцатой,Д. С. Лихачев,Воспоминания,1995,мемуары,"Через них же выводили на расстрелы — это был кратчайший путь из одиннадцатой (карцерной) роты до монастырского кладбища, где производились расстрелы."
4170,первом,Д. С. Лихачев,Воспоминания,1995,мемуары,"Наконец, в Кремле, в первом его отсеке с отдельным выходом через Сельдяные ворота (сейчас ими не пользуются) существовал «монастырь»: два десятка монахов с игуменом, схимником (не путать с отшельником, якобы жившим где-то в лесах) и отведенной для монахов на кладбище деревянной Онуфриевской церковью, где совершались богослужения."
4171,первом,Д. С. Лихачев,Воспоминания,1995,мемуары,Помоф» и часть лазарета помещались в первом отсеке Кремля недалеко от Никольских ворот.
4172,Пятнадцатая,Д. С. Лихачев,Воспоминания,1995,мемуары,"Пятнадцатая рота, иначе «сводная», была для тех, кто жил по разным углам за пределами Кремля."
4173,тринадцатой,Д. С. Лихачев,Воспоминания,1995,мемуары,"В четырнадцатой роте, помещавшейся за единостолпной трапезной палатой, и в прилегающих помещениях жили те, кто не был еще распределен после трехмесячного пребывания в тринадцатой роте по «командировкам» и дожидался отправки на лесозаготовки, торфоразработки и всякие производства."
4174,четырнадцатой,Д. С. Лихачев,Воспоминания,1995,мемуары,"В четырнадцатой роте, помещавшейся за единостолпной трапезной палатой, и в прилегающих помещениях жили те, кто не был еще распределен после трехмесячного пребывания в тринадцатой роте по «командировкам» и дожидался отправки на лесозаготовки, торфоразработки и всякие производства."
4175,тринадцатой,Д. С. Лихачев,Воспоминания,1995,мемуары,"Порой в тринадцатой карантинной роте на нарах вплотную друг к другу помещалось три-четыре, а то и пять тысяч человек."
4176,второй,Д. С. Лихачев,Воспоминания,1995,мемуары,Сто восемьдесят второй полный строй по десяти».
4177,тринадцатой,Д. С. Лихачев,Воспоминания,1995,мемуары,Все прибывающие на Соловки обязаны были пробыть в тринадцатой роте не менее трех месяцев.
4178,тринадцатая,Д. С. Лихачев,Воспоминания,1995,мемуары,Из всех рот тринадцатая была самой большой и самой страшной.
4179,двенадцатая,Д. С. Лихачев,Воспоминания,1995,мемуары,Это была двенадцатая рота.
4180,Одиннадцатая,Д. С. Лихачев,Воспоминания,1995,мемуары,Одиннадцатая рота — это карцер.
4181,девятая,Д. С. Лихачев,Воспоминания,1995,мемуары,"Восьмая, девятая и десятая роты тоже были «канцелярскими»."
4182,Восьмая,Д. С. Лихачев,Воспоминания,1995,мемуары,"Восьмая, девятая и десятая роты тоже были «канцелярскими»."
4183,десятая,Д. С. Лихачев,Воспоминания,1995,мемуары,"Восьмая, девятая и десятая роты тоже были «канцелярскими»."
4184,Седьмая,Д. С. Лихачев,Воспоминания,1995,мемуары,Седьмая рота — «артистическая».
4185,Шестая,Д. С. Лихачев,Воспоминания,1995,мемуары,"Шестая — «сторожевая» — состояла в основном из священников, монахов, епископов."
4186,вторая,Д. С. Лихачев,Воспоминания,1995,мемуары,"Где была вторая рота, не помню."
4187,третья,Д. С. Лихачев,Воспоминания,1995,мемуары,"Над первой ротой помещалась третья, «канцелярская», с окнами в обе стороны."
4188,первой,Д. С. Лихачев,Воспоминания,1995,мемуары,"Над первой ротой помещалась третья, «канцелярская», с окнами в обе стороны."
4189,Первая,Д. С. Лихачев,Воспоминания,1995,мемуары,"Первая рота была ротой «привилегированных» — командиров, начальников."
4190,первых,Д. С. Лихачев,Воспоминания,1995,мемуары,"Я думаю, тут известную роль сыграли заключенные из военных, сами устанавливавшие порядок среди первых прибывших на острова лагерников."
4191,Первая,Д. С. Лихачев,Воспоминания,1995,мемуары,"Первая, прилетевшая весной на остров, садилась именно тут, и это был знак весны: через две недели прилетали все остальные чайки."
4192,третий,Д. С. Лихачев,Воспоминания,1995,мемуары,"Меня волочили под руки Федя Розенберг и Володя Раков, был и еще кто-то третий."
4193,первой,Д. С. Лихачев,Воспоминания,1995,мемуары,"Я не знал, что делать, пытался его искать (он уверял, что живет в первой роте и у него отдельная комната с роялем), ставил коровам градусники, втыкая их под хвост, и приходил в ужас от температуры (около 40°, что для коров, как потом узнал, нормально)."
4194,вторым,Д. С. Лихачев,Воспоминания,1995,мемуары,"Вот и получилось так, что события, связанные со вторым свиданием, перекочевали в моей памяти на 1930 г."
4195,вторая,Д. С. Лихачев,Воспоминания,1995,мемуары,"У меня вторая группа трудоспособности, которую определила медицинская комиссия еще в Кемперпункте, поэтому отправляли меня на работы сравнительно легкие."
4196,первый,Д. С. Лихачев,Воспоминания,1995,мемуары,"В один из первых дней (может быть, даже в первый) я передал корзину с вещами кому-то из людей, живших в канцелярских ротах."
4197,первых,Д. С. Лихачев,Воспоминания,1995,мемуары,"В один из первых дней (может быть, даже в первый) я передал корзину с вещами кому-то из людей, живших в канцелярских ротах."
4198,первых,Д. С. Лихачев,Воспоминания,1995,мемуары,"Одной из моих первых забот было сохранить вещи, чтобы не украли."
4199,вторые,Д. С. Лихачев,Воспоминания,1995,мемуары,"Прошли одни ворота, вторые и повели в 13-ю роту."
4200,Первый,Д. С. Лихачев,Воспоминания,1995,мемуары,Первый раз бежал.
4201,второй,Д. С. Лихачев,Воспоминания,1995,мемуары,Он был второй раз на Соловках.
4202,тринадцатой,Д. С. Лихачев,Воспоминания,1995,мемуары,"Я не описываю подробно первые дни в Кеми, на Поповом острове, в тринадцатой роте на Соловках."
4203,первые,Д. С. Лихачев,Воспоминания,1995,мемуары,"Я не описываю подробно первые дни в Кеми, на Поповом острове, в тринадцатой роте на Соловках."
4204,первый,Д. С. Лихачев,Воспоминания,1995,мемуары,"Крыса в первый момент пыталась вырваться, убежать, но ее мели и мели с визгом и воплями."
4205,Третьим,Д. С. Лихачев,Воспоминания,1995,мемуары,Третьим втолкнули в нашу «одиночку» профессионального вора.
4206,пятом,Д. С. Лихачев,Воспоминания,1995,мемуары,"После личного обыска, при котором у меня отобрали крест, серебряные часы и несколько рублей, меня отправили в камеру ДПЗ на пятом этаже — дом предварительного заключения на Шпалерной (снаружи это здание имеет три этажа, но во избежание побегов тюрьма стоит как бы в футляре)."
4207,Восьмого,Д. С. Лихачев,Воспоминания,1995,мемуары,Восьмого февраля под утро за мной пришли: следователь в форме и комендант наших зданий на Печатном Дворе Сабельников.
4208,первый,Д. С. Лихачев,Воспоминания,1995,мемуары,Почему именно часы решились в первый раз за двадцать один год пробить для меня мерно и торжественно? 
4209,первый,Д. С. Лихачев,Воспоминания,1995,мемуары,Я слышал бой наших часов в первый раз.
4210,второй,Д. С. Лихачев,Воспоминания,1995,мемуары,"Больше того, М. М. Бахтин мог знать и о нашей второй сочиненной жизни и приключениях в рисунках Владимира Тихоновича Ракова."
4211,второй,Д. С. Лихачев,Воспоминания,1995,мемуары,"Один из таких альбомов, в которых все мы жили второй жизнью, у меня сохранился."
4212,первым,Д. С. Лихачев,Воспоминания,1995,мемуары,"В ближайшую же среду, на которую чуть ли не первым явился Ионкин, И. М. Андреевский встретил нас хмуро, уселся в глубокое, обитое синим бархатом кресло, подаренное ему одной из его учениц, и стал говорить о бесполезности наших собраний и о решении его больше не собираться."
4213,Первом,Д. С. Лихачев,Воспоминания,1995,мемуары,"Расспрашивая меня, Ионкин узнал, что мой отец когда-то преподавал химию в Первом кадетском Николаевском корпусе."
4214,второй,Д. С. Лихачев,Воспоминания,1995,мемуары,Во второй половине 20-х годов кружок Ивана Михайловича Андреевского Хельфернак стал все более и более приобретать религиозный характер.
4215,второй,Д. С. Лихачев,Воспоминания,1995,мемуары,"Встретиться в одной из наших квартир мы не решались: однодельцы, продолжавшие собираться, арестовывались и получали второй срок."
4216,вторую,Д. С. Лихачев,Воспоминания,1995,мемуары,Вместо изложения я представил Сергею Алексеевичу целую тетрадь моих возражений на вторую часть.
4217,вторая,Д. С. Лихачев,Воспоминания,1995,мемуары,Первая и вторая часть были друг с другом связаны.
4218,Первая,Д. С. Лихачев,Воспоминания,1995,мемуары,Первая и вторая часть были друг с другом связаны.
4219,второй,Д. С. Лихачев,Воспоминания,1995,мемуары,"Во второй части Сергей Алексеевич развивал мысль о том, что чудо есть форма «экономии» Божественной энергии."
4220,первой,Д. С. Лихачев,Воспоминания,1995,мемуары,"В первой Сергей Алексеевич рассуждал о том, почему чудо и непосредственное общение с Богом было столь обычным в библейские времена и в Средневековье, а теперь исчезло."
4221,первом,Д. С. Лихачев,Воспоминания,1995,мемуары,"Последнего мне удалось даже однажды увидеть в кружке, собиравшемся у университетского доктора Р. Поля, жившего на первом этаже главного здания университета, примерно там, где сейчас находятся помещения университетского книжного магазина."
4222,Четвертое,Д. С. Лихачев,Воспоминания,1995,мемуары,Четвертое действие.
4223,первые,Д. С. Лихачев,Воспоминания,1995,мемуары,Это только за первые месяцы советской власти.
4224,первой,Д. С. Лихачев,Воспоминания,1995,мемуары,"Неудачи русской армии на фронтах первой мировой войны, особенно в 1915 г."
4225,первые,Д. С. Лихачев,Воспоминания,1995,мемуары,"в революцию, в первые же годы террора."
4226,девятым,Д. С. Лихачев,Воспоминания,1995,мемуары,"Я думаю, что в будущем статистика арестов и расстрелов покажет, что волны арестов, казней, высылок надвинулись уже с начала 1918 года, еще до официального объявления осенью этого года «красного террора», а затем прибой все время нарастал до самой смерти Сталина, и, кажется, новая волна в 1936–1937 гг. была только «девятым валом» … Открыв форточки в своей квартире на Лахтинской улице, мы ночами в 1918–1919 гг. могли слышать беспорядочные выстрелы и короткие пулеметные очереди в стороне Петропавловской крепости."
4227,первой,Д. С. Лихачев,Воспоминания,1995,мемуары,"Русские разговоры», длительные, за полночь, — типичная и очень плодотворная черта русской культуры XIX — первой четверти XX вв."
4228,сороковых,Д. С. Лихачев,Воспоминания,1995,мемуары,"Часто впоследствии, когда я в сороковых годах начинал преподавать на историческом факультете Ленинградского университета, я вспоминал, как останавливался Тарле, якобы подыскивая подходящее слово, как потом «стрелял» в нас этим найденным словом, поражавшим своею точностью и запоминавшимся на всю жизнь."
4229,третьего,Д. С. Лихачев,Воспоминания,1995,мемуары,"Он нисколько не снисходил к нашим плохим знаниям того, другого и третьего, к слабому знанию языка, символики, да и просто английской географии."
4230,первого,Д. С. Лихачев,Воспоминания,1995,мемуары,"С первого курса я посещал практические занятия по логике профессора А. И. Введенского, которые он по иронии судьбы вел в помещении бывших Женских Бестужевских курсов."
4231,двенадцатого,Д. С. Лихачев,Воспоминания,1995,мемуары,"Так, например, В. Л. Комарович вел по вечерам два раза в неделю курс по Достоевскому, и лекции его, начинаясь в шесть часов вечера, затягивались до двенадцатого часа."
4232,первый,Д. С. Лихачев,Воспоминания,1995,мемуары,Это был едва ли не первый год приема в университет по классовому признаку.
4233,четвертом,Д. С. Лихачев,Воспоминания,1995,мемуары,"Он помогал каждому найти самого себя: в одном он открывал какую-то национальную черту (всегда хорошую), в другом нравственную (доброту или любовь «к маленьким»), в третьем — вкус, в четвертом — остроумие, но не просто остроумие, а умел охарактеризовать особенность его остроумия («холодный остряк», украинский юмор — и непременно с пояснением, в чем состоит этот украинский юмор), в пятом открывал философа и т. д."
4234,третьем,Д. С. Лихачев,Воспоминания,1995,мемуары,"Он помогал каждому найти самого себя: в одном он открывал какую-то национальную черту (всегда хорошую), в другом нравственную (доброту или любовь «к маленьким»), в третьем — вкус, в четвертом — остроумие, но не просто остроумие, а умел охарактеризовать особенность его остроумия («холодный остряк», украинский юмор — и непременно с пояснением, в чем состоит этот украинский юмор), в пятом открывал философа и т. д."
4235,пятом,Д. С. Лихачев,Воспоминания,1995,мемуары,"Он помогал каждому найти самого себя: в одном он открывал какую-то национальную черту (всегда хорошую), в другом нравственную (доброту или любовь «к маленьким»), в третьем — вкус, в четвертом — остроумие, но не просто остроумие, а умел охарактеризовать особенность его остроумия («холодный остряк», украинский юмор — и непременно с пояснением, в чем состоит этот украинский юмор), в пятом открывал философа и т. д."
4236,первый,Д. С. Лихачев,Воспоминания,1995,мемуары,"Когда он чем-нибудь интересовался, это выходило на первый план."
4237,втором,Д. С. Лихачев,Воспоминания,1995,мемуары,"Для моего любимого преподавателя литературы Леонида Владимировича Георга существовал прежде всего Пушкин, но существовала и вся другая литература — не скажу даже, что на втором плане."
4238,второе,Д. С. Лихачев,Воспоминания,1995,мемуары,"Об одном из таких участников наших кружков — Евгении Павловиче Иванове, друге Александра Блока, я немного написал в статье «Из комментария к стихотворению А. Блока „Ночь, улица, фонарь, аптека…»» в книге «Литература — реальность — литература» (второе издание — 1984 г.)."
4239,первые,Д. С. Лихачев,Воспоминания,1995,мемуары,"В ней я пережил самые первые реформы школы, переход к трудовому воспитанию (уроки столярного искусства сменились пилкой дров для отопления школы), к совместному обучению мальчиков и девочек (к нам в школу перевели девочек из соседней школы Шаффе) и т. д."
4240,Первое,Д. С. Лихачев,Воспоминания,1995,мемуары,"Первое время после переезда в казенную квартиру на Петроградской стороне (Гатчинская, 16, или Лахтинская, 9) я продолжал учиться у Мая."
4241,первой,Д. С. Лихачев,Воспоминания,1995,мемуары,"Железная дорога к Токсово и дальше была построена в стратегических целях во время первой мировой войны, проходила за Токсово по узкому перешейку между Кавголовским озером, где берет свое начало речка Охта и имелся шлюз, и Пасторским озером, на берегу которого когда-то хил пастор-швед."
4242,Первой,Д. С. Лихачев,Воспоминания,1995,мемуары,"Отец был искренне рад и горд, когда рабочие электрической станции в Первой государственной типографии (теперь это Печатный Двор) выбрали его своим заведующим."
4243,Первой,Д. С. Лихачев,Воспоминания,1995,мемуары,Жизнь в Первой государственной типографии
4244,первый,Д. С. Лихачев,Воспоминания,1995,мемуары,"Мусоргский и Римский-Корсаков — особенно первый, — это не только композиторы, но и философы русской истории."
4245,первые,Д. С. Лихачев,Воспоминания,1995,мемуары,"Когда в первые дни Февральской революции «гордовики» (так называли в Петрограде городовых) захватили вышку Исаакиевского собора и чердаки гостиницы «Астория» и оттуда обстреливали любую собиравшуюся толпу, мои родители возмущались «гордовиками» и боялись приближаться к этим местам."
4246,первой,Д. С. Лихачев,Воспоминания,1995,мемуары,В годы первой мировой войны в училище Мая был введен урок ручного труда.
4247,десятых,Д. С. Лихачев,Воспоминания,1995,мемуары,И я заболел: у меня стала подниматься каждый день температура — на две-три десятых градуса выше 37.
4248,вторая,Д. С. Лихачев,Воспоминания,1995,мемуары,В дневнике появилась вторая запись: «Шалил на улице.
4249,второй,Д. С. Лихачев,Воспоминания,1995,мемуары,"Я был новичок, а они уже учились второй год, и многие перешли из городского училища."
4250,третьем,Д. С. Лихачев,Воспоминания,1995,мемуары,"Пели и на нижней палубе, в третьем классе: пели частушки и плясали."
4251,Первый,Д. С. Лихачев,Воспоминания,1995,мемуары,Первый отвечает: «Побывай сам».
4252,Второй,Д. С. Лихачев,Воспоминания,1995,мемуары,Второй спрашивает: «Каково там?» 
4253,Первый,Д. С. Лихачев,Воспоминания,1995,мемуары,Первый петух кричит: «В Костроме был».
4254,первый,Д. С. Лихачев,Воспоминания,1995,мемуары,"На Волге погода потеплела, и мы в первый же день обедали на носу парохода на воздухе."
4255,первая,Д. С. Лихачев,Воспоминания,1995,мемуары,"Осенью 1914 года, когда началась первая мировая война, мы жили в Оллило близко от Большой дороги."
4256,второй,Д. С. Лихачев,Воспоминания,1995,мемуары,"После уже не захотелось ехать туда во второй раз — разрушать тот «маленький рай», который еще существовал в моей памяти."
4257,первые,Д. С. Лихачев,Воспоминания,1995,мемуары,"Моя бабушка по матери и ее верная Катеринушка (о последней я писал выше) любили вставлять в свою речь поговорки и пословицы (и первые и последние всегда как шутку), и эти обычные для всех шутки своею понятностью именно в тесном семейном кругу как бы служили удостоверением прочности семейного быта."
4258,Первую,Д. С. Лихачев,Воспоминания,1995,мемуары,"Первую ее дачу отобрали пожарные, но дали другую, и она разводила цветы, ягоды, огурцы."
4259,первую,Д. С. Лихачев,Воспоминания,1995,мемуары,"Когда в первую финскую войну финны отсюда уходили, Александра Яновна спряталась — хотела с русскими остаться."
4260,первые,Д. С. Лихачев,Воспоминания,1995,мемуары,"Часть Финского залива, отделенная сейчас от остальной его части дамбой, до сих пор называется Маркизовой лужей: в первые годы XIX века здесь обычно устраивал морские учения маркиз де Траверсе."
4261,второй,Д. С. Лихачев,Воспоминания,1995,мемуары,"Брата повели на второй этаж пороть, а затем отец, не изменяя своим привычкам, повел нас гулять вдоль моря."
4262,второй,Д. С. Лихачев,Воспоминания,1995,мемуары,"Домашний мальчик Сережа (он впоследствии, после второй мировой войны, работал архитектором-реставратором в Новгороде) пошел к своей бабушке и спросил у нее разрешения прокатиться."
4263,первый,Д. С. Лихачев,Воспоминания,1995,мемуары,И от них я получил первый урок уважения к другим нациям.
4264,четырнадцатому,Д. С. Лихачев,Воспоминания,1995,мемуары,"Приятельница моей матери Мария Альбертовна Пуни, красивая черноглазая итальянка, носила на щиколотке ноги золотую браслетку (платья к четырнадцатому году укоротились и стали только чуть-чуть нависать над стопой)."
