"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
" -- еинавзан ,еиненичос еовт илсензар ен или";"яавреп";"или не разнесли твое сочинение, название -- ";"первая";" ";"его реклама.";"Владимир Санин. Не говори ты Арктике ― прощай (1987)";"Владимир Санин";"1928";"Не говори ты Арктике ― прощай";"1987";"публицистика";"монография";"путешествия | наука и технологии";"В. М. Санин. Не говори ты Арктике ― прощай";"1989";"книга";"омонимия не снята";"Пока критики еще не похвалили или не разнесли твое сочинение, название -- первая его реклама."
" ,теавыБ";"яавреп";"Бывает, ";"первая";" ";"строчка еще не написана, а оно";"Владимир Санин. Не говори ты Арктике ― прощай (1987)";"Владимир Санин";"1928";"Не говори ты Арктике ― прощай";"1987";"публицистика";"монография";"путешествия | наука и технологии";"В. М. Санин. Не говори ты Арктике ― прощай";"1989";"книга";"омонимия не снята";"Бывает, первая строчка еще не написана, а оно приходит и определяет тональность будущей книги; бывает, что книга уже написана, а удачного названия нет, и ты неделями ищешь его, проклиная свою бездарность."
" ан яслесу ,отсем еоннелволсу ан ясливарпто";"йывреп";"отправился на условленное место, уселся на ";"первый";" ";"попавшийся камень и слушал, как море";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Когда время стало приближаться к полуночи, я отправился на условленное место, уселся на первый попавшийся камень и слушал, как море тихо плескалось у моих ног."
" к йыннавокирп ,киннелп йыню ,иматамрас с";"йонноигел";"с сарматами, юный пленник, прикованный к ";"легионной";" ";"повозке, объяснявшийся с центурионом на каком-то";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"И вдруг мне вспомнилась битва римлян с сарматами, юный пленник, прикованный к легионной повозке, объяснявшийся с центурионом на каком-то странном наречии."
" тюавыб юонсев А";"еывреп";"А весною бывают ";"первые";" ";"грозы, сверкают молнии, и богиня сыплет";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"А весною бывают первые грозы, сверкают молнии, и богиня сыплет цветы на лужайки."
" в ,онтяорев ,рднаскелА";"йынчясыт";"Александр, вероятно, в ";"тысячный";" ";"раз присутствовавший при таком событии, как";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Александр, вероятно, в тысячный раз присутствовавший при таком событии, как смерть человека, молча сидел в кресле, о чем-то размышляя."
" хулсв лечорп Я";"еывреп";"Я прочел вслух ";"первые";" ";"строки: ";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Я прочел вслух первые строки: "
" лунревзар и ьтепрету гом ен я";"йывреп";"я не мог утерпеть и развернул ";"первый";" ";"свиток.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Вергилиан заметил мою радость и грустно улыбался, а я не мог утерпеть и развернул первый свиток."
" ирп тюат яинанз итэ есв отч";"мовреп";"что все эти знания тают при ";"первом";" ";"же сомнении, как дым.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Но теперь я вижу, что все эти знания тают при первом же сомнении, как дым."
" в ,ортуан ьдеВ";"мовреп";"Ведь наутро, в ";"первом";" ";"часу, мне уже надлежало отправляться в";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Ведь наутро, в первом часу, мне уже надлежало отправляться в далекий путь."
" то монаилигреВ с етсемв илеворп ым";"хиьтерт";"мы провели вместе с Вергилианом от ";"третьих";" ";"петухов до полудня.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Тот день мы провели вместе с Вергилианом от третьих петухов до полудня."
" --";"йытацдантяП";"-- ";"Пятнадцатый";" ";"Аполлониев Благочестивый, Разоритель Арбелы...";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Пятнадцатый Аполлониев Благочестивый, Разоритель Арбелы..."
"";"йытревтеЧ";"";"Четвертый";" ";"Марциев Победоносный.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Четвертый Марциев Победоносный."
" ,цензилБ йытясеД ,йыньлафмуирТ йытявеД";"йытацданевД";"Девятый Триумфальный, Десятый Близнец, ";"Двенадцатый";" ";"Громоносный, что стоит в Митилене...";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Девятый Триумфальный, Десятый Близнец, Двенадцатый Громоносный, что стоит в Митилене..."
" --";"йытявеД";"-- ";"Девятый";" ";"Триумфальный, Десятый Близнец, Двенадцатый Громоносный, что";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Девятый Триумфальный, Десятый Близнец, Двенадцатый Громоносный, что стоит в Митилене..."
" ,йыньлафмуирТ йытявеД";"йытясеД";"Девятый Триумфальный, ";"Десятый";" ";"Близнец, Двенадцатый Громоносный, что стоит в";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Девятый Триумфальный, Десятый Близнец, Двенадцатый Громоносный, что стоит в Митилене..."
" илитавхаз и ытамрас илибурзи огЕ";"еынноигел";"Его изрубили сарматы и захватили ";"легионные";" ";"знамена.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Его изрубили сарматы и захватили легионные знамена."
" ,йиксфикС йытревтеЧ ,йывилтсачС веивалФ йытревтеЧ";"йытяП";"Четвертый Флавиев Счастливый, Четвертый Скифский, ";"Пятый";" ";"легион Жаворонка.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Четвертый Флавиев Счастливый, Четвертый Скифский, Пятый легион Жаворонка."
" ,йывилтсачС веивалФ йытревтеЧ";"йытревтеЧ";"Четвертый Флавиев Счастливый, ";"Четвертый";" ";"Скифский, Пятый легион Жаворонка.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Четвертый Флавиев Счастливый, Четвертый Скифский, Пятый легион Жаворонка."
" --";"йытревтеЧ";"-- ";"Четвертый";" ";"Флавиев Счастливый, Четвертый Скифский, Пятый легион";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Четвертый Флавиев Счастливый, Четвертый Скифский, Пятый легион Жаворонка."
" у А";"огоротВ";"А у ";"Второго";" ";"Италийского? ";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"А у Второго Италийского? "
" у иканз еикаК";"огоротВ";"Какие знаки у ";"Второго";" ";"Дополнительного? ";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Какие знаки у Второго Дополнительного? "
"";"йоротВ";"";"Второй";" ";"Италийский, Второй Дополнительный постоянный...";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Второй Италийский, Второй Дополнительный постоянный..."
" ,йиксйилатИ йоротВ";"йоротВ";"Второй Италийский, ";"Второй";" ";"Дополнительный постоянный...";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Второй Италийский, Второй Дополнительный постоянный..."
" --";"йитерТ";"-- ";"Третий";" ";"Парфянский, Верный до гроба.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Третий Парфянский, Верный до гроба."
" --";"йывреП";"-- ";"Первый";" ";"Италийский, Первый Минервы, Первый Парфянский, Второй";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Первый Италийский, Первый Минервы, Первый Парфянский, Второй Парфянский..."
" ,йиксйилатИ йывреП";"йывреП";"Первый Италийский, ";"Первый";" ";"Минервы, Первый Парфянский, Второй Парфянский...";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Первый Италийский, Первый Минервы, Первый Парфянский, Второй Парфянский..."
" ,йиксняфраП йывреП ,ыврениМ йывреП ,йиксйилатИ йывреП";"йоротВ";"Первый Италийский, Первый Минервы, Первый Парфянский, ";"Второй";" ";"Парфянский...";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Первый Италийский, Первый Минервы, Первый Парфянский, Второй Парфянский..."
" ,ыврениМ йывреП ,йиксйилатИ йывреП";"йывреП";"Первый Италийский, Первый Минервы, ";"Первый";" ";"Парфянский, Второй Парфянский...";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Первый Италийский, Первый Минервы, Первый Парфянский, Второй Парфянский..."
" лазакс оворус -- ,оньлетинсокуен оненлопыв имакдерп еоннелвонатсу";"йывреп";"установленное предками выполнено неукоснительно, -- сурово сказал ";"первый";" ";"сенатор, рассекая рукою воздух.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Священные формулы должны быть произнесены в точности и все установленное предками выполнено неукоснительно, -- сурово сказал первый сенатор, рассекая рукою воздух."
" илсен ыцсонеманз идазоП";"еынноигел";"Позади знаменосцы несли ";"легионные";" ";"орлы.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Позади знаменосцы несли легионные орлы."
" зи миндо лыб я ,ястеемузар юобос";"хывреп";"собою разумеется, я был одним из ";"первых";" ";"на месте предстоящей церемонии.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Само собою разумеется, я был одним из первых на месте предстоящей церемонии."
" ежу ывьЛ";"йоротв";"Львы уже ";"второй";" ";"день не принимали пищу.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Львы уже второй день не принимали пищу."
" ан илемуш и ырташ илуникоп ыниов";"монноигел";"воины покинули шатры и шумели на ";"легионном";" ";"форуме.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Очевидно, воины покинули шатры и шумели на легионном форуме."
" аткеферп ан лертомсоп оньлетисорпов ниленроК";"хынноигел";"Корнелин вопросительно посмотрел на префекта ";"легионных";" ";"кузнецов Ферапонта.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Корнелин вопросительно посмотрел на префекта легионных кузнецов Ферапонта."
" меавичнакаЗ";"йоротв";"Заканчиваем ";"второй";" ";"сруб, -- ответил Диодор, -- к утру закончим.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Заканчиваем второй сруб, -- ответил Диодор, -- к утру закончим."
" ан ябет илисевоп ино ыботч ,маниов";"мовреп";"воинам, чтобы они повесили тебя на ";"первом";" ";"попавшемся дереве! ";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Или я прикажу воинам, чтобы они повесили тебя на первом попавшемся дереве! "
" бигоП";"йоротв";"Погиб ";"второй";" ";"Геракл! ";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Погиб второй Геракл! "
" в йымибюл и имараврав дан имадебоп";"хынноигел";"победами над варварами и любимый в ";"легионных";" ";"лагерях за свое простое, солдатское происхождение.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Единственным соперником для Макрина был старый Адвент, прославленный победами над варварами и любимый в легионных лагерях за свое простое, солдатское происхождение."
" зи миндо ,емлох ан ляотс Я";"хывреп";"Я стоял на холме, одним из ";"первых";" ";"прибежав туда благодаря своему молодому проворству";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Я стоял на холме, одним из первых прибежав туда благодаря своему молодому проворству, и наблюдал во всех подробностях эту ужасную сцену."
" --";"яавреП";"-- ";"Первая";" ";"турма! ";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Первая турма! "
" в ,ыднелак еиксьларвеф в ,атакиртскЭ яиссеМ";"йотсеш";"Мессия Экстриката, в февральские календы, в ";"шестой";" ";"год с того дня, как облачился";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Это случилось в консульство Гая Бруция Презента и Тита Мессия Экстриката, в февральские календы, в шестой год с того дня, как облачился в пурпур император Марк Аврелий Антонин, прозванный Каракаллой»."
" ьтсаЧ";"яатревтеч";"Часть ";"четвертая";".";"";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Часть четвертая."
" отч ,акищьлебарок авд ет А";"имывреп";"А те два корабельщика, что ";"первыми";" ";"попали на берег, объяснили нам, где";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"А те два корабельщика, что первыми попали на берег, объяснили нам, где мы очутились: "
" воцнетп хиовс еишвичу ,икчотсал мотебещ мыньлачеп";"мывреп";"печальным щебетом ласточки, учившие своих птенцов ";"первым";" ";"полетам.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Над крышей летали с печальным щебетом ласточки, учившие своих птенцов первым полетам."
" ламиндоп окосыв цетО";"юувреп";"Отец высоко поднимал ";"первую";" ";"сорванную гроздь, любовался ею и воздавал";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Отец высоко поднимал первую сорванную гроздь, любовался ею и воздавал хвалу Либеру..."
" итохирп оп ясьтадто авотог яаннелбюлзов едг";"умовреп";"где возлюбленная готова отдаться по прихоти ";"первому";" ";"встречному и забыть страстные обещания.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Иногда мне казалось, что не стоит жить в мире, где возлюбленная готова отдаться по прихоти первому встречному и забыть страстные обещания."
" ватыпси ежу ,рим ан ьтертомс умогурд-оп";"еывреп";"по-другому смотреть на мир, уже испытав ";"первые";" ";"радости и разочарования любви, и все";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Впрочем, с возрастом и я стал по-другому смотреть на мир, уже испытав первые радости и разочарования любви, и все уже не казалось мне теперь таким заманчивым, как раньше."
" лавовтсещус емод ее в ,ондивечо ,ывУ";"йоротв";"Увы, очевидно, в ее доме существовал ";"второй";" ";"выход, потому что она никогда не";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Увы, очевидно, в ее доме существовал второй выход, потому что она никогда не появлялась на-пороге, и я, как голодная собака, снова брел к садам Мецената, где тоже не находил себе покоя."
" к илавокирп хазалг хиом ан ыджандо";"йонноигел";"однажды на моих глазах приковали к ";"легионной";" ";"повозке.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Мне показалось, что юноша как две капли воды походил на того пленника, которого однажды на моих глазах приковали к легионной повозке."
" лешоп йе ьрепеТ";"йытацдантсеш";"Теперь ей пошел ";"шестнадцатый";" ";"год, и судьба уже собиралась набросить";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Теперь ей пошел шестнадцатый год, и судьба уже собиралась набросить ей на голову огненное покрывало невесты."
" ямерв оВ";"оготревтеч";"Во время ";"четвертого";" ";"заезда Вергилиан не раз оборачивался с";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Во время четвертого заезда Вергилиан не раз оборачивался с каким-то внутренним беспокойством в ту сторону, где находились карнунтский торговец с дочерью."
" ьтипутсыв летохаз мас но отч ,меинечрого";"мывреп";"огорчением, что он сам захотел выступить ";"первым";", ";"чтобы поскорее встретиться с некоей сенаторшей";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Однако знавшие всю подноготную жизни знаменитого возницы рассказывали с огорчением, что он сам захотел выступить первым, чтобы поскорее встретиться с некоей сенаторшей, томившейся от страсти."
" илитсуп умечоп ,ьсилялвиду идюл и ,йелетирз";"йовреп";"зрителей, и люди удивлялись, почему пустили ";"первой";" ";"квадригу Акретона.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Но после пережитого зрелище уже не захватывало зрителей, и люди удивлялись, почему пустили первой квадригу Акретона."
"";"йоротВ";"";"Второй";" ";"заезд закончился вполне благополучно победой достойнейшего";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Второй заезд закончился вполне благополучно победой достойнейшего, так же и третий."
" и еж кат ,огешйенйотсод йодебоп ончулопогалб";"йитерт";"благополучно победой достойнейшего, так же и ";"третий";".";"";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Второй заезд закончился вполне благополучно победой достойнейшего, так же и третий."
" оН";"йоротв";"Но ";"второй";" ";"не соглашался на такой заклад.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Но второй не соглашался на такой заклад."
" то лесиваз йиназятсос татьлузеР";"огомьдес";"Результат состязаний зависел от ";"седьмого";" ";"поворота.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Результат состязаний зависел от седьмого поворота."
" ,йинделсоп ясланичан ежУ";"йомьдес";"Уже начинался последний, ";"седьмой";" ";"круг.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Уже начинался последний, седьмой круг."
" адгок ,вокирк и йинакселпокур то ястюасяртос";"яанчясыттосхувд";"сотрясаются от рукоплесканий и криков, когда ";"двухсоттысячная";" ";"толпа стала приветствовать торжественное прохождение колесниц";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Мне показалось, что даже монументальные камни дрожат и сотрясаются от рукоплесканий и криков, когда двухсоттысячная толпа стала приветствовать торжественное прохождение колесниц на арене перед началом состязаний."
" в яароток ,йонжятсирп йовел то отч";"юувреп";"что от левой пристяжной, которая в ";"первую";" ";"очередь огибает при повороте так называемую";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Мне уже объяснили, что от левой пристяжной, которая в первую очередь огибает при повороте так называемую мету -- край делившего цирк на две половины возвышения со статуями, обелисками и всякими мемориальными украшениями в честь возниц, -- зависит исход бегов."
" в яндогес ьдеВ";"мовреп";"Ведь сегодня в ";"первом";" ";"заезде -- Акретон...";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Ведь сегодня в первом заезде -- Акретон..."
" в и йыннебергоп ,еталиП иитноП ирп";"йитерт";"при Понтии Пилате, погребенный и в ";"третий";" ";"день восставший из гроба, снова придет";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Но знайте, что близок час, когда Христос, пострадавший за нас, распятый при Понтии Пилате, погребенный и в третий день восставший из гроба, снова придет, чтобы судить живых и мертвых..."
" ,ьтсодолом линмопсв ,ьтыб тежом ,ротсеН";"еывреп";"Нестор, может быть, вспомнил молодость, ";"первые";" ";"юные порывы и поднял глаза к";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Нестор, может быть, вспомнил молодость, первые юные порывы и поднял глаза к небесам."
" с ыботч ,ынсев ладж я и";"мывреп";"и я ждал весны, чтобы с ";"первым";" ";"же попутным кораблем направиться в Томы.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Зима приближалась к концу, и я ждал весны, чтобы с первым же попутным кораблем направиться в Томы."
" ,агорип косук адюлб с лязв и";"йитерт";"и взял с блюда кусок пирога, ";"третий";" ";"по счету.";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Филострат вздохнул и взял с блюда кусок пирога, третий по счету."
"";"йытяП";"";"Пятый";" ";"день я переписывал сам для себя";"А. П. Ладинский. В дни Каракаллы (1959)";"А. П. Ладинский";"1895";"В дни Каракаллы";"1959";"художественная";"роман";"";"Ладинский А. П. В дни Каракаллы";"1987";"книга";"омонимия не снята";"Пятый день я переписывал сам для себя «Историю» Тацита, чтобы увезти свиток в Томы, а Вергилиану в тот вечер пришлось разделить трапезу сенатора."
